=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.07.18 20:29:59 =~=~=~=~=~=~=~=~=~=~=~=
18/7/2022 20:27:4
30.00
79
18/7/2022 20:27:5
1.00
43
18/7/2022 20:27:6
1.00
43
18/7/2022 20:27:7
4.00
58
18/7/2022 20:27:8
0.00
0
18/7/2022 20:27:9
1.00
43
18/7/2022 20:27:10
1.00
43
18/7/2022 20:27:11
1.00
43
18/7/2022 20:27:12
0.00
0
18/7/2022 20:27:13
1.00
43
18/7/2022 20:27:14
1.00
43
18/7/2022 20:27:15
1.00
43
18/7/2022 20:27:16
1.00
43
18/7/2022 20:27:17
1.00
43
18/7/2022 20:27:18
0.00
0
18/7/2022 20:27:19
0.00
0
18/7/2022 20:27:20
0.00
0
18/7/2022 20:27:21
0.00
0
18/7/2022 20:27:22
0.00
0
18/7/2022 20:27:23
0.00
0
18/7/2022 20:27:24
0.00
0
18/7/2022 20:27:25
1.00
43
18/7/2022 20:27:26
1.00
43
18/7/2022 20:27:27
1.00
43
18/7/2022 20:27:28
1.00
43
18/7/2022 20:27:29
1.00
43
18/7/2022 20:27:30
0.00
0
18/7/2022 20:27:31
1.00
43
18/7/2022 20:27:32
1.00
43
18/7/2022 20:27:33
1.00
43
18/7/2022 20:27:34
1.00
43
18/7/2022 20:27:35
1.00
43
18/7/2022 20:27:36
1.00
43
18/7/2022 20:27:37
1.00
43
18/7/2022 20:27:38
1.00
43
18/7/2022 20:27:39
1.00
43
18/7/2022 20:27:40
0.00
0
18/7/2022 20:27:41
1.00
43
18/7/2022 20:27:42
1.00
43
18/7/2022 20:27:43
1.00
43
18/7/2022 20:27:44
1.00
43
18/7/2022 20:27:45
1.00
43
18/7/2022 20:27:46
1.00
43
18/7/2022 20:27:47
34.00
81
18/7/2022 20:27:48
0.00
0
18/7/2022 20:27:49
1.00
43
18/7/2022 20:27:50
1.00
43
18/7/2022 20:27:51
1.00
43
18/7/2022 20:27:52
1.00
43
18/7/2022 20:27:53
1.00
43
18/7/2022 20:27:54
1.00
43
18/7/2022 20:27:55
1.00
43
18/7/2022 20:27:56
1.00
43
18/7/2022 20:27:57
1.00
43
18/7/2022 20:27:58
1.00
43
18/7/2022 20:27:59
1.00
43
18/7/2022 20:28:0
0.00
0
18/7/2022 20:28:1
0.00
0
18/7/2022 20:28:2
0.00
0
18/7/2022 20:28:3
0.00
0
18/7/2022 20:28:4
1.00
43
18/7/2022 20:28:5
0.00
0
18/7/2022 20:28:6
1.00
43
18/7/2022 20:28:7
1.00
43
18/7/2022 20:28:8
1.00
43
18/7/2022 20:28:9
1.00
43
18/7/2022 20:28:10
1.00
43
18/7/2022 20:28:11
1.00
43
18/7/2022 20:28:12
1.00
43
18/7/2022 20:28:13
1.00
43
18/7/2022 20:28:14
1.00
43
18/7/2022 20:28:15
0.00
0
18/7/2022 20:28:16
1.00
43
18/7/2022 20:28:17
1.00
43
18/7/2022 20:28:18
1.00
43
18/7/2022 20:28:19
1.00
43
18/7/2022 20:28:20
1.00
43
18/7/2022 20:28:21
1.00
43
18/7/2022 20:28:22
1.00
43
18/7/2022 20:28:23
1.00
43
18/7/2022 20:28:24
1.00
43
18/7/2022 20:28:25
1.00
43
18/7/2022 20:28:26
1.00
43
18/7/2022 20:28:27
1.00
43
18/7/2022 20:28:28
1.00
43
18/7/2022 20:28:29
1.00
43
18/7/2022 20:28:30
0.00
0
18/7/2022 20:28:31
0.00
0
18/7/2022 20:28:32
0.00
0
18/7/2022 20:28:33
0.00
0
18/7/2022 20:28:34
1.00
43
18/7/2022 20:28:35
1.00
43
18/7/2022 20:28:36
1.00
43
18/7/2022 20:28:37
1.00
43
18/7/2022 20:28:38
1.00
43
18/7/2022 20:28:39
1.00
43
18/7/2022 20:28:40
1.00
43
18/7/2022 20:28:41
1.00
43
18/7/2022 20:28:42
1.00
43
18/7/2022 20:28:43
1.00
43
18/7/2022 20:28:44
1.00
43
18/7/2022 20:28:45
0.00
0
18/7/2022 20:28:46
1.00
43
18/7/2022 20:28:47
0.00
0
18/7/2022 20:28:48
0.00
0
18/7/2022 20:28:49
0.00
0
18/7/2022 20:28:50
0.00
0
18/7/2022 20:28:51
1.00
43
18/7/2022 20:28:52
0.00
0
18/7/2022 20:28:53
0.00
0
18/7/2022 20:28:54
1.00
43
18/7/2022 20:28:55
0.00
0
18/7/2022 20:28:56
0.00
0
18/7/2022 20:28:57
0.00
0
18/7/2022 20:28:58
0.00
0
18/7/2022 20:28:59
1.00
43
18/7/2022 20:29:0
1.00
43
18/7/2022 20:29:1
1.00
43
18/7/2022 20:29:2
1.00
43
18/7/2022 20:29:3
1.00
43
18/7/2022 20:29:4
1.00
43
18/7/2022 20:29:5
1.00
43
18/7/2022 20:29:6
0.00
0
18/7/2022 20:29:7
1.00
43
18/7/2022 20:29:8
1.00
43
18/7/2022 20:29:9
1.00
43
18/7/2022 20:29:10
1.00
43
18/7/2022 20:29:11
1.00
43
18/7/2022 20:29:12
1.00
43
18/7/2022 20:29:13
1.00
43
18/7/2022 20:29:14
0.00
0
18/7/2022 20:29:15
0.00
0
18/7/2022 20:29:16
0.00
0
18/7/2022 20:29:17
0.00
0
18/7/2022 20:29:18
2.00
51
18/7/2022 20:29:19
2.00
51
18/7/2022 20:29:20
2.00
51
18/7/2022 20:29:21
2.00
51
18/7/2022 20:29:22
2.00
51
18/7/2022 20:29:23
2.00
51
18/7/2022 20:29:24
2.00
51
18/7/2022 20:29:25
2.00
51
18/7/2022 20:29:26
2.00
51
18/7/2022 20:29:27
2.00
51
18/7/2022 20:29:28
2.00
51
18/7/2022 20:29:29
2.00
51
18/7/2022 20:29:30
2.00
51
18/7/2022 20:29:31
2.00
51
18/7/2022 20:29:32
2.00
51
18/7/2022 20:29:33
2.00
51
18/7/2022 20:29:34
2.00
51
18/7/2022 20:29:35
2.00
51
18/7/2022 20:29:36
2.00
51
18/7/2022 20:29:37
1.00
43
18/7/2022 20:29:38
2.00
51
18/7/2022 20:29:39
1.00
43
18/7/2022 20:29:40
1.00
43
18/7/2022 20:29:41
1.00
43
18/7/2022 20:29:42
2.00
51
18/7/2022 20:29:43
1.00
43
18/7/2022 20:29:44
1.00
43
18/7/2022 20:29:45
1.00
43
18/7/2022 20:29:46
1.00
43
18/7/2022 20:29:47
1.00
43
18/7/2022 20:29:48
1.00
43
18/7/2022 20:29:49
1.00
43
18/7/2022 20:29:50
1.00
43
18/7/2022 20:29:51
1.00
43
18/7/2022 20:29:52
1.00
43
18/7/2022 20:29:53
1.00
43
18/7/2022 20:29:54
1.00
43
18/7/2022 20:29:55
1.00
43
18/7/2022 20:29:56
1.00
43
18/7/2022 20:29:58
2.00
51
18/7/2022 20:29:59
1.00
43
18/7/2022 20:30:0
1.00
43
18/7/2022 20:30:1
1.00
43
18/7/2022 20:30:2
1.00
43
18/7/2022 20:30:3
1.00
43
18/7/2022 20:30:4
1.00
43
18/7/2022 20:30:5
1.00
43
18/7/2022 20:30:6
1.00
43
18/7/2022 20:30:7
2.00
51
18/7/2022 20:30:8
2.00
51
18/7/2022 20:30:9
2.00
51
18/7/2022 20:30:10
2.00
51
18/7/2022 20:30:11
2.00
51
18/7/2022 20:30:12
2.00
51
18/7/2022 20:30:13
2.00
51
18/7/2022 20:30:14
2.00
51
18/7/2022 20:30:15
1.00
43
18/7/2022 20:30:16
1.00
43
18/7/2022 20:30:17
1.00
43
18/7/2022 20:30:18
1.00
43
18/7/2022 20:30:19
1.00
43
18/7/2022 20:30:20
1.00
43
18/7/2022 20:30:21
1.00
43
18/7/2022 20:30:22
1.00
43
18/7/2022 20:30:23
1.00
43
18/7/2022 20:30:24
1.00
43
18/7/2022 20:30:25
1.00
43
18/7/2022 20:30:26
1.00
43
18/7/2022 20:30:27
1.00
43
18/7/2022 20:30:28
1.00
43
18/7/2022 20:30:29
1.00
43
18/7/2022 20:30:30
1.00
43
18/7/2022 20:30:31
1.00
43
18/7/2022 20:30:32
1.00
43
18/7/2022 20:30:33
1.00
43
18/7/2022 20:30:34
1.00
43
18/7/2022 20:30:35
2.00
51
18/7/2022 20:30:36
2.00
51
18/7/2022 20:30:37
2.00
51
18/7/2022 20:30:38
2.00
51
18/7/2022 20:30:39
2.00
51
18/7/2022 20:30:40
1.00
43
18/7/2022 20:30:41
1.00
43
18/7/2022 20:30:42
1.00
43
18/7/2022 20:30:43
1.00
43
18/7/2022 20:30:44
1.00
43
18/7/2022 20:30:45
1.00
43
18/7/2022 20:30:46
1.00
43
18/7/2022 20:30:47
1.00
43
18/7/2022 20:30:48
1.00
43
18/7/2022 20:30:49
1.00
43
18/7/2022 20:30:50
1.00
43
18/7/2022 20:30:51
1.00
43
18/7/2022 20:30:52
1.00
43
18/7/2022 20:30:53
1.00
43
18/7/2022 20:30:54
1.00
43
18/7/2022 20:30:55
1.00
43
18/7/2022 20:30:56
1.00
43
18/7/2022 20:30:57
1.00
43
18/7/2022 20:30:58
1.00
43
18/7/2022 20:30:59
1.00
43
18/7/2022 20:31:0
1.00
43
18/7/2022 20:31:1
1.00
43
18/7/2022 20:31:2
1.00
43
18/7/2022 20:31:3
1.00
43
18/7/2022 20:31:4
1.00
43
18/7/2022 20:31:5
1.00
43
18/7/2022 20:31:6
1.00
43
18/7/2022 20:31:7
2.00
51
18/7/2022 20:31:8
2.00
51
18/7/2022 20:31:9
2.00
51
18/7/2022 20:31:10
2.00
51
18/7/2022 20:31:11
2.00
51
18/7/2022 20:31:12
2.00
51
18/7/2022 20:31:13
2.00
51
18/7/2022 20:31:14
2.00
51
18/7/2022 20:31:15
1.00
43
18/7/2022 20:31:16
3.00
55
18/7/2022 20:31:17
3.00
55
18/7/2022 20:31:18
3.00
55
18/7/2022 20:31:19
3.00
55
18/7/2022 20:31:20
3.00
55
18/7/2022 20:31:21
3.00
55
18/7/2022 20:31:22
4.00
58
18/7/2022 20:31:23
4.00
58
18/7/2022 20:31:24
4.00
58
18/7/2022 20:31:25
4.00
58
